Question,Category,SubCategory
Athens Greece Baghdad Iraq,semeantic,: capital-common-countries
Athens Greece Bangkok Thailand,semeantic,: capital-common-countries
Athens Greece Beijing China,semeantic,: capital-common-countries
Athens Greece Berlin Germany,semeantic,: capital-common-countries
Athens Greece Bern Switzerland,semeantic,: capital-common-countries
Athens Greece Cairo Egypt,semeantic,: capital-common-countries
Athens Greece Canberra Australia,semeantic,: capital-common-countries
Athens Greece Hanoi Vietnam,semeantic,: capital-common-countries
Athens Greece Havana Cuba,semeantic,: capital-common-countries
Athens Greece Helsinki Finland,semeantic,: capital-common-countries
Athens Greece Islamabad Pakistan,semeantic,: capital-common-countries
Athens Greece Kabul Afghanistan,semeantic,: capital-common-countries
Athens Greece London England,semeantic,: capital-common-countries
Athens Greece Madrid Spain,semeantic,: capital-common-countries
Athens Greece Moscow Russia,semeantic,: capital-common-countries
Athens Greece Oslo Norway,semeantic,: capital-common-countries
Athens Greece Ottawa Canada,semeantic,: capital-common-countries
Athens Greece Paris France,semeantic,: capital-common-countries
Athens Greece Rome Italy,semeantic,: capital-common-countries
Athens Greece Stockholm Sweden,semeantic,: capital-common-countries
Athens Greece Tehran Iran,semeantic,: capital-common-countries
Athens Greece Tokyo Japan,semeantic,: capital-common-countries
Baghdad Iraq Bangkok Thailand,semeantic,: capital-common-countries
Baghdad Iraq Beijing China,semeantic,: capital-common-countries
Baghdad Iraq Berlin Germany,semeantic,: capital-common-countries
Baghdad Iraq Bern Switzerland,semeantic,: capital-common-countries
Baghdad Iraq Cairo Egypt,semeantic,: capital-common-countries
Baghdad Iraq Canberra Australia,semeantic,: capital-common-countries
Baghdad Iraq Hanoi Vietnam,semeantic,: capital-common-countries
Baghdad Iraq Havana Cuba,semeantic,: capital-common-countries
Baghdad Iraq Helsinki Finland,semeantic,: capital-common-countries
Baghdad Iraq Islamabad Pakistan,semeantic,: capital-common-countries
Baghdad Iraq Kabul Afghanistan,semeantic,: capital-common-countries
Baghdad Iraq London England,semeantic,: capital-common-countries
Baghdad Iraq Madrid Spain,semeantic,: capital-common-countries
Baghdad Iraq Moscow Russia,semeantic,: capital-common-countries
Baghdad Iraq Oslo Norway,semeantic,: capital-common-countries
Baghdad Iraq Ottawa Canada,semeantic,: capital-common-countries
Baghdad Iraq Paris France,semeantic,: capital-common-countries
Baghdad Iraq Rome Italy,semeantic,: capital-common-countries
Baghdad Iraq Stockholm Sweden,semeantic,: capital-common-countries
Baghdad Iraq Tehran Iran,semeantic,: capital-common-countries
Baghdad Iraq Tokyo Japan,semeantic,: capital-common-countries
Baghdad Iraq Athens Greece,semeantic,: capital-common-countries
Bangkok Thailand Beijing China,semeantic,: capital-common-countries
Bangkok Thailand Berlin Germany,semeantic,: capital-common-countries
Bangkok Thailand Bern Switzerland,semeantic,: capital-common-countries
Bangkok Thailand Cairo Egypt,semeantic,: capital-common-countries
Bangkok Thailand Canberra Australia,semeantic,: capital-common-countries
Bangkok Thailand Hanoi Vietnam,semeantic,: capital-common-countries
Bangkok Thailand Havana Cuba,semeantic,: capital-common-countries
Bangkok Thailand Helsinki Finland,semeantic,: capital-common-countries
Bangkok Thailand Islamabad Pakistan,semeantic,: capital-common-countries
Bangkok Thailand Kabul Afghanistan,semeantic,: capital-common-countries
Bangkok Thailand London England,semeantic,: capital-common-countries
Bangkok Thailand Madrid Spain,semeantic,: capital-common-countries
Bangkok Thailand Moscow Russia,semeantic,: capital-common-countries
Bangkok Thailand Oslo Norway,semeantic,: capital-common-countries
Bangkok Thailand Ottawa Canada,semeantic,: capital-common-countries
Bangkok Thailand Paris France,semeantic,: capital-common-countries
Bangkok Thailand Rome Italy,semeantic,: capital-common-countries
Bangkok Thailand Stockholm Sweden,semeantic,: capital-common-countries
Bangkok Thailand Tehran Iran,semeantic,: capital-common-countries
Bangkok Thailand Tokyo Japan,semeantic,: capital-common-countries
Bangkok Thailand Athens Greece,semeantic,: capital-common-countries
Bangkok Thailand Baghdad Iraq,semeantic,: capital-common-countries
Beijing China Berlin Germany,semeantic,: capital-common-countries
Beijing China Bern Switzerland,semeantic,: capital-common-countries
Beijing China Cairo Egypt,semeantic,: capital-common-countries
Beijing China Canberra Australia,semeantic,: capital-common-countries
Beijing China Hanoi Vietnam,semeantic,: capital-common-countries
Beijing China Havana Cuba,semeantic,: capital-common-countries
Beijing China Helsinki Finland,semeantic,: capital-common-countries
Beijing China Islamabad Pakistan,semeantic,: capital-common-countries
Beijing China Kabul Afghanistan,semeantic,: capital-common-countries
Beijing China London England,semeantic,: capital-common-countries
Beijing China Madrid Spain,semeantic,: capital-common-countries
Beijing China Moscow Russia,semeantic,: capital-common-countries
Beijing China Oslo Norway,semeantic,: capital-common-countries
Beijing China Ottawa Canada,semeantic,: capital-common-countries
Beijing China Paris France,semeantic,: capital-common-countries
Beijing China Rome Italy,semeantic,: capital-common-countries
Beijing China Stockholm Sweden,semeantic,: capital-common-countries
Beijing China Tehran Iran,semeantic,: capital-common-countries
Beijing China Tokyo Japan,semeantic,: capital-common-countries
Beijing China Athens Greece,semeantic,: capital-common-countries
Beijing China Baghdad Iraq,semeantic,: capital-common-countries
Beijing China Bangkok Thailand,semeantic,: capital-common-countries
Berlin Germany Bern Switzerland,semeantic,: capital-common-countries
Berlin Germany Cairo Egypt,semeantic,: capital-common-countries
Berlin Germany Canberra Australia,semeantic,: capital-common-countries
Berlin Germany Hanoi Vietnam,semeantic,: capital-common-countries
Berlin Germany Havana Cuba,semeantic,: capital-common-countries
Berlin Germany Helsinki Finland,semeantic,: capital-common-countries
Berlin Germany Islamabad Pakistan,semeantic,: capital-common-countries
Berlin Germany Kabul Afghanistan,semeantic,: capital-common-countries
Berlin Germany London England,semeantic,: capital-common-countries
Berlin Germany Madrid Spain,semeantic,: capital-common-countries
Berlin Germany Moscow Russia,semeantic,: capital-common-countries
Berlin Germany Oslo Norway,semeantic,: capital-common-countries
Berlin Germany Ottawa Canada,semeantic,: capital-common-countries
Berlin Germany Paris France,semeantic,: capital-common-countries
Berlin Germany Rome Italy,semeantic,: capital-common-countries
Berlin Germany Stockholm Sweden,semeantic,: capital-common-countries
Berlin Germany Tehran Iran,semeantic,: capital-common-countries
Berlin Germany Tokyo Japan,semeantic,: capital-common-countries
Berlin Germany Athens Greece,semeantic,: capital-common-countries
Berlin Germany Baghdad Iraq,semeantic,: capital-common-countries
Berlin Germany Bangkok Thailand,semeantic,: capital-common-countries
Berlin Germany Beijing China,semeantic,: capital-common-countries
Bern Switzerland Cairo Egypt,semeantic,: capital-common-countries
Bern Switzerland Canberra Australia,semeantic,: capital-common-countries
Bern Switzerland Hanoi Vietnam,semeantic,: capital-common-countries
Bern Switzerland Havana Cuba,semeantic,: capital-common-countries
Bern Switzerland Helsinki Finland,semeantic,: capital-common-countries
Bern Switzerland Islamabad Pakistan,semeantic,: capital-common-countries
Bern Switzerland Kabul Afghanistan,semeantic,: capital-common-countries
Bern Switzerland London England,semeantic,: capital-common-countries
Bern Switzerland Madrid Spain,semeantic,: capital-common-countries
Bern Switzerland Moscow Russia,semeantic,: capital-common-countries
Bern Switzerland Oslo Norway,semeantic,: capital-common-countries
Bern Switzerland Ottawa Canada,semeantic,: capital-common-countries
Bern Switzerland Paris France,semeantic,: capital-common-countries
Bern Switzerland Rome Italy,semeantic,: capital-common-countries
Bern Switzerland Stockholm Sweden,semeantic,: capital-common-countries
Bern Switzerland Tehran Iran,semeantic,: capital-common-countries
Bern Switzerland Tokyo Japan,semeantic,: capital-common-countries
Bern Switzerland Athens Greece,semeantic,: capital-common-countries
Bern Switzerland Baghdad Iraq,semeantic,: capital-common-countries
Bern Switzerland Bangkok Thailand,semeantic,: capital-common-countries
Bern Switzerland Beijing China,semeantic,: capital-common-countries
Bern Switzerland Berlin Germany,semeantic,: capital-common-countries
Cairo Egypt Canberra Australia,semeantic,: capital-common-countries
Cairo Egypt Hanoi Vietnam,semeantic,: capital-common-countries
Cairo Egypt Havana Cuba,semeantic,: capital-common-countries
Cairo Egypt Helsinki Finland,semeantic,: capital-common-countries
Cairo Egypt Islamabad Pakistan,semeantic,: capital-common-countries
Cairo Egypt Kabul Afghanistan,semeantic,: capital-common-countries
Cairo Egypt London England,semeantic,: capital-common-countries
Cairo Egypt Madrid Spain,semeantic,: capital-common-countries
Cairo Egypt Moscow Russia,semeantic,: capital-common-countries
Cairo Egypt Oslo Norway,semeantic,: capital-common-countries
Cairo Egypt Ottawa Canada,semeantic,: capital-common-countries
Cairo Egypt Paris France,semeantic,: capital-common-countries
Cairo Egypt Rome Italy,semeantic,: capital-common-countries
Cairo Egypt Stockholm Sweden,semeantic,: capital-common-countries
Cairo Egypt Tehran Iran,semeantic,: capital-common-countries
Cairo Egypt Tokyo Japan,semeantic,: capital-common-countries
Cairo Egypt Athens Greece,semeantic,: capital-common-countries
Cairo Egypt Baghdad Iraq,semeantic,: capital-common-countries
Cairo Egypt Bangkok Thailand,semeantic,: capital-common-countries
Cairo Egypt Beijing China,semeantic,: capital-common-countries
Cairo Egypt Berlin Germany,semeantic,: capital-common-countries
Cairo Egypt Bern Switzerland,semeantic,: capital-common-countries
Canberra Australia Hanoi Vietnam,semeantic,: capital-common-countries
Canberra Australia Havana Cuba,semeantic,: capital-common-countries
Canberra Australia Helsinki Finland,semeantic,: capital-common-countries
Canberra Australia Islamabad Pakistan,semeantic,: capital-common-countries
Canberra Australia Kabul Afghanistan,semeantic,: capital-common-countries
Canberra Australia London England,semeantic,: capital-common-countries
Canberra Australia Madrid Spain,semeantic,: capital-common-countries
Canberra Australia Moscow Russia,semeantic,: capital-common-countries
Canberra Australia Oslo Norway,semeantic,: capital-common-countries
Canberra Australia Ottawa Canada,semeantic,: capital-common-countries
Canberra Australia Paris France,semeantic,: capital-common-countries
Canberra Australia Rome Italy,semeantic,: capital-common-countries
Canberra Australia Stockholm Sweden,semeantic,: capital-common-countries
Canberra Australia Tehran Iran,semeantic,: capital-common-countries
Canberra Australia Tokyo Japan,semeantic,: capital-common-countries
Canberra Australia Athens Greece,semeantic,: capital-common-countries
Canberra Australia Baghdad Iraq,semeantic,: capital-common-countries
Canberra Australia Bangkok Thailand,semeantic,: capital-common-countries
Canberra Australia Beijing China,semeantic,: capital-common-countries
Canberra Australia Berlin Germany,semeantic,: capital-common-countries
Canberra Australia Bern Switzerland,semeantic,: capital-common-countries
Canberra Australia Cairo Egypt,semeantic,: capital-common-countries
Hanoi Vietnam Havana Cuba,semeantic,: capital-common-countries
Hanoi Vietnam Helsinki Finland,semeantic,: capital-common-countries
Hanoi Vietnam Islamabad Pakistan,semeantic,: capital-common-countries
Hanoi Vietnam Kabul Afghanistan,semeantic,: capital-common-countries
Hanoi Vietnam London England,semeantic,: capital-common-countries
Hanoi Vietnam Madrid Spain,semeantic,: capital-common-countries
Hanoi Vietnam Moscow Russia,semeantic,: capital-common-countries
Hanoi Vietnam Oslo Norway,semeantic,: capital-common-countries
Hanoi Vietnam Ottawa Canada,semeantic,: capital-common-countries
Hanoi Vietnam Paris France,semeantic,: capital-common-countries
Hanoi Vietnam Rome Italy,semeantic,: capital-common-countries
Hanoi Vietnam Stockholm Sweden,semeantic,: capital-common-countries
Hanoi Vietnam Tehran Iran,semeantic,: capital-common-countries
Hanoi Vietnam Tokyo Japan,semeantic,: capital-common-countries
Hanoi Vietnam Athens Greece,semeantic,: capital-common-countries
Hanoi Vietnam Baghdad Iraq,semeantic,: capital-common-countries
Hanoi Vietnam Bangkok Thailand,semeantic,: capital-common-countries
Hanoi Vietnam Beijing China,semeantic,: capital-common-countries
Hanoi Vietnam Berlin Germany,semeantic,: capital-common-countries
Hanoi Vietnam Bern Switzerland,semeantic,: capital-common-countries
Hanoi Vietnam Cairo Egypt,semeantic,: capital-common-countries
Hanoi Vietnam Canberra Australia,semeantic,: capital-common-countries
Havana Cuba Helsinki Finland,semeantic,: capital-common-countries
Havana Cuba Islamabad Pakistan,semeantic,: capital-common-countries
Havana Cuba Kabul Afghanistan,semeantic,: capital-common-countries
Havana Cuba London England,semeantic,: capital-common-countries
Havana Cuba Madrid Spain,semeantic,: capital-common-countries
Havana Cuba Moscow Russia,semeantic,: capital-common-countries
Havana Cuba Oslo Norway,semeantic,: capital-common-countries
Havana Cuba Ottawa Canada,semeantic,: capital-common-countries
Havana Cuba Paris France,semeantic,: capital-common-countries
Havana Cuba Rome Italy,semeantic,: capital-common-countries
Havana Cuba Stockholm Sweden,semeantic,: capital-common-countries
Havana Cuba Tehran Iran,semeantic,: capital-common-countries
Havana Cuba Tokyo Japan,semeantic,: capital-common-countries
Havana Cuba Athens Greece,semeantic,: capital-common-countries
Havana Cuba Baghdad Iraq,semeantic,: capital-common-countries
Havana Cuba Bangkok Thailand,semeantic,: capital-common-countries
Havana Cuba Beijing China,semeantic,: capital-common-countries
Havana Cuba Berlin Germany,semeantic,: capital-common-countries
Havana Cuba Bern Switzerland,semeantic,: capital-common-countries
Havana Cuba Cairo Egypt,semeantic,: capital-common-countries
Havana Cuba Canberra Australia,semeantic,: capital-common-countries
Havana Cuba Hanoi Vietnam,semeantic,: capital-common-countries
Helsinki Finland Islamabad Pakistan,semeantic,: capital-common-countries
Helsinki Finland Kabul Afghanistan,semeantic,: capital-common-countries
Helsinki Finland London England,semeantic,: capital-common-countries
Helsinki Finland Madrid Spain,semeantic,: capital-common-countries
Helsinki Finland Moscow Russia,semeantic,: capital-common-countries
Helsinki Finland Oslo Norway,semeantic,: capital-common-countries
Helsinki Finland Ottawa Canada,semeantic,: capital-common-countries
Helsinki Finland Paris France,semeantic,: capital-common-countries
Helsinki Finland Rome Italy,semeantic,: capital-common-countries
Helsinki Finland Stockholm Sweden,semeantic,: capital-common-countries
Helsinki Finland Tehran Iran,semeantic,: capital-common-countries
Helsinki Finland Tokyo Japan,semeantic,: capital-common-countries
Helsinki Finland Athens Greece,semeantic,: capital-common-countries
Helsinki Finland Baghdad Iraq,semeantic,: capital-common-countries
Helsinki Finland Bangkok Thailand,semeantic,: capital-common-countries
Helsinki Finland Beijing China,semeantic,: capital-common-countries
Helsinki Finland Berlin Germany,semeantic,: capital-common-countries
Helsinki Finland Bern Switzerland,semeantic,: capital-common-countries
Helsinki Finland Cairo Egypt,semeantic,: capital-common-countries
Helsinki Finland Canberra Australia,semeantic,: capital-common-countries
Helsinki Finland Hanoi Vietnam,semeantic,: capital-common-countries
Helsinki Finland Havana Cuba,semeantic,: capital-common-countries
Islamabad Pakistan Kabul Afghanistan,semeantic,: capital-common-countries
Islamabad Pakistan London England,semeantic,: capital-common-countries
Islamabad Pakistan Madrid Spain,semeantic,: capital-common-countries
Islamabad Pakistan Moscow Russia,semeantic,: capital-common-countries
Islamabad Pakistan Oslo Norway,semeantic,: capital-common-countries
Islamabad Pakistan Ottawa Canada,semeantic,: capital-common-countries
Islamabad Pakistan Paris France,semeantic,: capital-common-countries
Islamabad Pakistan Rome Italy,semeantic,: capital-common-countries
Islamabad Pakistan Stockholm Sweden,semeantic,: capital-common-countries
Islamabad Pakistan Tehran Iran,semeantic,: capital-common-countries
Islamabad Pakistan Tokyo Japan,semeantic,: capital-common-countries
Islamabad Pakistan Athens Greece,semeantic,: capital-common-countries
Islamabad Pakistan Baghdad Iraq,semeantic,: capital-common-countries
Islamabad Pakistan Bangkok Thailand,semeantic,: capital-common-countries
Islamabad Pakistan Beijing China,semeantic,: capital-common-countries
Islamabad Pakistan Berlin Germany,semeantic,: capital-common-countries
Islamabad Pakistan Bern Switzerland,semeantic,: capital-common-countries
Islamabad Pakistan Cairo Egypt,semeantic,: capital-common-countries
Islamabad Pakistan Canberra Australia,semeantic,: capital-common-countries
Islamabad Pakistan Hanoi Vietnam,semeantic,: capital-common-countries
Islamabad Pakistan Havana Cuba,semeantic,: capital-common-countries
Islamabad Pakistan Helsinki Finland,semeantic,: capital-common-countries
Kabul Afghanistan London England,semeantic,: capital-common-countries
Kabul Afghanistan Madrid Spain,semeantic,: capital-common-countries
Kabul Afghanistan Moscow Russia,semeantic,: capital-common-countries
Kabul Afghanistan Oslo Norway,semeantic,: capital-common-countries
Kabul Afghanistan Ottawa Canada,semeantic,: capital-common-countries
Kabul Afghanistan Paris France,semeantic,: capital-common-countries
Kabul Afghanistan Rome Italy,semeantic,: capital-common-countries
Kabul Afghanistan Stockholm Sweden,semeantic,: capital-common-countries
Kabul Afghanistan Tehran Iran,semeantic,: capital-common-countries
Kabul Afghanistan Tokyo Japan,semeantic,: capital-common-countries
Kabul Afghanistan Athens Greece,semeantic,: capital-common-countries
